AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AcceptsInsurance,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
No,No,None,Yes,None,FullBar,Casual,Casual,None,No,None,None,No,None,No,None,None,None,"Breakfast,Brunch,Lunch,Dinner",None,Yes,Yes,None,None,None,Yes,None,None,Average,None,No,None,None,None,None,Yes,No,None,None,Yes,None,None,Free,NM Albuquerque Airport/Base,Claimed,None,rio-grande-brew-pub-and-grill-albuquerque,35.0472635045,-106.616785423,2.0,3.5,fuddruckers-albuquerque-3,66-diner-albuquerque,frontier-restaurant-albuquerque-2,89,American(Traditional),Rio Grande Brew Pub & Grill,https://www.yelp.com/biz/rio-grande-brew-pub-and-grill-albuquerque?osq=food
None,None,None,Yes,None,FullBar,Casual,Casual,"Tue,Sat,Sun",Yes,None,None,Yes,No,No,None,None,11:00 am - 1:00 am,"Lunch,Dinner",No,Yes,Yes,None,Yes,No,Yes,11:00 am - 12:00 am,None,Loud,None,Yes,PrivateLot,11:00 am - 1:00 am,No,11:00 am - 12:00 am,Yes,No,11:00 am - 12:00 am,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,None,Free,NM Albuquerque Airport/Base,Claimed,None,buffalo-wild-wings-albuquerque-5,35.058973,-106.6284488,2.0,2.5,altitude-sports-grill-albuquerque-2,franks-famous-chicken-and-waffles-albuquerque,None,47,"ChickenWings,SportsBars,American(Traditional)",Buffalo Wild Wings,https://www.yelp.com/biz/buffalo-wild-wings-albuquerque-5?osq=food
None,None,None,Yes,None,FullBar,None,Casual,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,Yes,Yes,None,None,Yes,None,Yes,Free,NM Albuquerque Airport/Base,Unclaimed,None,rojo-bar-and-grill-albuquerque,35.0511535,-106.620774,3.0,3.0,the-artichoke-cafe-albuquerque,seasons-rotisserie-and-grill-albuquerque,zinc-wine-bar-and-bistro-albuquerque,8,American(New),Rojo Bar & Grill,https://www.yelp.com/biz/rojo-bar-and-grill-albuquerque?osq=food
None,None,None,Yes,None,FullBar,None,Casual,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,No,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,No,None,None,Yes,None,No,None,NM Albuquerque Airport/Base,Unclaimed,None,route-66-microbrewery-albuquerque,35.0433333,-106.6129085,2.0,2.5,the-artichoke-cafe-albuquerque,the-grove-cafe-and-market-albuquerque,frontier-restaurant-albuquerque-2,4,"American(New),Diners",Route 66 Microbrewery,https://www.yelp.com/biz/route-66-microbrewery-albuquerque?osq=food
None,No,None,Yes,None,No,Casual,Casual,None,Yes,None,None,None,None,No,None,No,Open 24 hours,"Breakfast,Brunch,Lunch,Dinner,LateNight,Dessert",None,Yes,Yes,None,None,None,Yes,5:30 am - Tue,None,Average,None,No,None,Open 24 hours,None,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,Yes,Open 24 hours,Yes,Free,NM Albuquerque Airport/Base,Claimed,None,village-inn-albuquerque-17,35.0551632,-106.6216254,2.0,3.5,fuddruckers-albuquerque-3,little-anitas-albuquerque-14,tia-betty-blues-albuquerque,29,"Breakfast&Brunch,Salad,Burgers",Village Inn,https://www.yelp.com/biz/village-inn-albuquerque-17?osq=food
None,None,None,Yes,None,FullBar,None,Casual,None,None,None,None,None,None,No,None,None,None,None,None,No,Yes,None,None,None,Yes,None,None,Average,None,No,None,None,None,None,Yes,No,None,None,Yes,None,Yes,None,NM Albuquerque Airport/Base,Unclaimed,None,watch-sports-bar-albuquerque,35.0490056,-106.6167355,2.0,3.0,saggios-albuquerque,frontier-restaurant-albuquerque-2,the-grove-cafe-and-market-albuquerque,7,Restaurants,Watch Sports Bar,https://www.yelp.com/biz/watch-sports-bar-albuquerque?osq=food
Yes,Yes,None,Yes,None,None,None,None,None,Yes,None,None,No,None,None,None,None,6:30 am - 6:00 pm,None,None,None,None,Yes,None,None,None,6:30 am - 6:00 pm,None,None,None,Yes,Street,7:00 am - 2:00 pm,None,8:00 am - 2:00 pm,Yes,None,6:30 am - 6:00 pm,6:30 am - 6:00 pm,None,6:30 am - 6:00 pm,Yes,Free,NM Albuquerque Airport/Base,Claimed,None,michael-thomas-coffee-albuquerque-3,35.0633573,-106.6045077,1.0,4.5,napoli-coffee-albuquerque,the-brew-albuquerque,zendo-albuquerque,79,Coffee&Tea,Michael Thomas Coffee,https://www.yelp.com/biz/michael-thomas-coffee-albuquerque-3?osq=food
None,None,None,Yes,None,None,None,Casual,None,None,None,None,None,None,No,None,None,11:00 am - 11:00 pm,None,No,Yes,Yes,None,Yes,None,Yes,11:00 am - 10:00 pm,None,None,None,No,None,11:00 am - 11:00 pm,None,11:00 am - 10:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,None,None,NM Albuquerque Airport/Base,Claimed,None,chilis-albuquerque-9,35.057875,-106.628673,2.0,3.5,None,None,None,7,"Bars,Tex-Mex",Chili’s,https://www.yelp.com/biz/chilis-albuquerque-9?osq=food
None,No,None,Yes,None,No,Casual,Casual,None,Yes,None,None,No,None,No,None,None,Open 24 hours,"Breakfast,LateNight",None,Yes,Yes,None,None,None,No,Open 24 hours,None,Average,None,No,PrivateLot,Open 24 hours,None,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,Yes,Open 24 hours,Yes,No,NM Albuquerque Airport/Base,Claimed,None,waffle-house-albuquerque,35.0559666,-106.6214572,1.0,3.0,fuddruckers-albuquerque-3,village-inn-albuquerque-17,tia-betty-blues-albuquerque,51,"Breakfast&Brunch,American(Traditional),Waffles",Waffle House,https://www.yelp.com/biz/waffle-house-albuquerque?osq=food
None,None,None,Yes,None,Beer&WineOnly,None,Casual,None,Yes,None,None,Yes,None,No,None,None,Open 24 hours,"Breakfast,Brunch",None,Yes,Yes,None,None,None,Yes,Open 24 hours,None,VeryLoud,None,No,None,Open 24 hours,None,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,No,Open 24 hours,None,Free,NM Albuquerque Airport/Base,Claimed,None,dennys-albuquerque-7,35.0589833795,-106.629408873,2.0,4.0,gold-street-caffe-albuquerque-3,frontier-restaurant-albuquerque-2,standard-diner-albuquerque,14,"Breakfast&Brunch,Diners,American(Traditional)",Denny’s,https://www.yelp.com/biz/dennys-albuquerque-7?osq=food
None,Yes,None,Yes,None,No,None,Casual,None,No,None,None,No,None,No,None,None,None,Breakfast,None,Yes,Yes,None,None,None,No,None,None,Average,None,No,None,None,None,None,Yes,No,None,None,No,None,None,Free,NM Albuquerque Airport/Base,Unclaimed,None,keva-juice-albuquerque-7,35.0493002,-106.6166331,1.0,3.5,zeus-juice-and-nutrition-albuquerque,keva-juice-albuquerque-8,limonata-albuquerque,14,"FoodStands,JuiceBars&Smoothies",Keva Juice,https://www.yelp.com/biz/keva-juice-albuquerque-7?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,simply-southwest-cafe-kirtland-air-force-base,35.0375211,-106.582127,None,5.0,griffs-hamburgers-albuquerque,holy-cow-albuquerque,flamez-bistro-albuquerque-2,1,Burgers,Simply Southwest Cafe,https://www.yelp.com/biz/simply-southwest-cafe-kirtland-air-force-base?osq=food
None,None,None,Yes,None,FullBar,Casual,Casual,"Wed,Thu,Fri",Yes,None,None,No,No,No,None,No,11:00 am - 2:00 am,"Lunch,Dinner",No,Yes,Yes,None,Yes,No,Yes,11:00 am - 2:00 am,None,Average,None,No,PrivateLot,11:00 am - 2:00 am,No,11:00 am - 12:00 am,Yes,No,11:00 am - 2:00 am,11:00 am - 2:00 am,Yes,11:00 am - 2:00 am,Yes,No,NM Albuquerque Airport/Base,Unclaimed,None,applebees-albuquerque-12,35.0588309362,-106.621431528,2.0,3.0,monroes-restaurant-albuquerque,fuddruckers-albuquerque-3,padillas-mexican-kitchen-albuquerque,59,"American(Traditional),SportsBars,Burgers",Applebee’s,https://www.yelp.com/biz/applebees-albuquerque-12?osq=food
None,None,None,Yes,None,No,Casual,Casual,None,No,None,None,Yes,None,No,None,None,10:30 am - 9:30 pm,"Lunch,Dinner",None,Yes,Yes,None,None,None,Yes,10:30 am - 9:00 pm,None,Quiet,None,No,PrivateLot,10:30 am - 9:00 pm,None,10:30 am - 9:00 pm,Yes,No,10:30 am - 9:00 pm,10:30 am - 9:00 pm,Yes,10:30 am - 9:00 pm,Yes,No,NM Albuquerque Airport/Base,Claimed,None,2000-vietnam-restaurant-albuquerque,35.0726082,-106.5866693,1.0,4.0,saigon-far-east-albuquerque,que-huong-albuquerque,pho-1-albuquerque,61,Vietnamese,2000 Vietnam Restaurant,https://www.yelp.com/biz/2000-vietnam-restaurant-albuquerque?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,Yes,None,None,None,None,10:00 am - 9:00 pm,Lunch,None,Yes,Yes,None,None,None,No,10:00 am - 9:00 pm,None,Quiet,None,No,PrivateLot,10:00 am - 9:00 pm,None,10:00 am - 9:00 pm,Yes,No,10:00 am - 9:00 pm,10:00 am - 9:00 pm,Yes,10:00 am - 9:00 pm,None,None,NM Albuquerque Airport/Base,Claimed,None,shebas-grocery-and-cafe-albuquerque,35.066293,-106.5866901,1.0,4.0,None,None,None,18,"MiddleEastern,Grocery,Mediterranean",Sheba’s Grocery & Cafe,https://www.yelp.com/biz/shebas-grocery-and-cafe-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7:00 am - 2:00 pm,None,None,None,None,None,None,None,None,7:00 am - 2:00 pm,None,None,None,None,None,Closed,None,Closed,None,None,7:00 am - 2:00 pm,7:00 am - 2:00 pm,None,7:00 am - 2:00 pm,None,None,NM Albuquerque Airport/Base,Unclaimed,None,larivas-new-mexican-food-truck-and-cafe-albuquerque,35.0725731,-106.632179,None,4.0,None,None,None,1,"FoodTrucks,Mexican",LaRivas New Mexican Food Truck and Cafe,https://www.yelp.com/biz/larivas-new-mexican-food-truck-and-cafe-albuquerque?osq=food
None,None,None,Yes,None,No,None,Casual,None,None,None,None,None,None,No,None,None,10:00 am - 1:00 am,None,None,Yes,Yes,None,None,None,No,10:00 am - 12:00 am,None,None,None,No,None,10:00 am - 1:00 am,None,10:00 am - 12:00 am,Yes,No,10:00 am - 12:00 am,10:00 am - 12:00 am,No,10:00 am - 12:00 am,No,None,NM Albuquerque Airport/Base,Claimed,None,taco-bell-albuquerque-19,35.058417,-106.58863,1.0,1.5,acapulco-tacos-and-burritos-albuquerque,hurricanes-restaurant-and-drive-in-albuquerque,burrito-lady-albuquerque,8,"Mexican,Tex-Mex,FastFood",Taco Bell,https://www.yelp.com/biz/taco-bell-albuquerque-19?osq=food
None,Yes,No,Yes,None,No,Divey,Casual,None,Yes,None,None,Yes,None,No,Yes,None,7:00 am - 3:00 pm,Brunch,None,Yes,Yes,Yes,None,None,Yes,7:00 am - 3:00 pm,None,Average,None,Yes,PrivateLot,8:00 am - 2:00 pm,None,8:00 am - 2:00 pm,Yes,No,7:00 am - 3:00 pm,7:00 am - 3:00 pm,No,7:00 am - 3:00 pm,Yes,Free,NM Albuquerque Airport/Base,Claimed,None,fans-of-film-cinema-cafe-and-roaster-albuquerque-5,35.0732417,-106.6218792,1.0,4.0,java-joes-albuquerque,kaps-coffee-shop-and-diner-albuquerque,the-grove-cafe-and-market-albuquerque,16,"Coffee&Tea,CoffeeRoasteries,Breakfast&Brunch",Fans Of Film Cafe & Roaster,https://www.yelp.com/biz/fans-of-film-cinema-cafe-and-roaster-albuquerque-5?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,whole-enchilada-albuquerque,35.065046,-106.586671,None,5.0,frontier-restaurant-albuquerque-2,cervantes-restaurant-and-lounge-albuquerque,acapulco-tacos-and-burritos-albuquerque,1,Mexican,Whole Enchilada,https://www.yelp.com/biz/whole-enchilada-albuquerque?osq=food
None,None,None,Yes,None,None,None,Casual,None,No,None,None,Yes,None,No,None,No,None,None,None,Yes,Yes,None,None,None,No,None,None,None,None,No,None,None,None,None,Yes,No,None,None,None,None,None,Free,NM Albuquerque Airport/Base,None,None,quiznos-albuquerque-10,35.0474838823,-106.615244192,2.0,2.5,None,None,None,6,"FastFood,Sandwiches",Quiznos,https://www.yelp.com/biz/quiznos-albuquerque-10?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,the-espresso-machine-food-truck-albuquerque,35.0699836952,-106.609858274,None,None,None,None,None,None,None,The Espresso Machine food truck,https://www.yelp.com/biz/the-espresso-machine-food-truck-albuquerque?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,7:00 am - 11:00 pm,None,None,None,None,None,None,None,None,7:00 am - 11:00 pm,None,None,None,None,None,7:00 am - 11:00 pm,None,7:00 am - 11:00 pm,Yes,None,7:00 am - 11:00 pm,7:00 am - 11:00 pm,None,7:00 am - 11:00 pm,None,None,NM Albuquerque Airport/Base,Unclaimed,None,o-beans-coffee-cruiser-albuquerque,35.057488,-106.5694783,1.0,5.0,None,None,None,1,Coffee&Tea,O’Bean’s Coffee Cruiser,https://www.yelp.com/biz/o-beans-coffee-cruiser-albuquerque?osq=food
None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,garfield-market-albuquerque,35.0735641,-106.6160501,1.0,5.0,j-and-d-foods-inc-albuquerque-2,smiths-albuquerque-6,smiths-food-and-drug-stores-albuquerque,1,Grocery,Garfield Market,https://www.yelp.com/biz/garfield-market-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7:00 am - 2:00 pm,None,None,None,None,None,None,None,None,Closed,None,None,None,None,None,7:00 am - 2:00 pm,None,7:00 am - 2:00 pm,None,None,7:00 am - 2:00 pm,Closed,None,7:00 am - 2:00 pm,None,None,NM Albuquerque Airport/Base,Unclaimed,None,barbacoa-el-primo-albuquerque,35.0739758,-106.5946115,None,5.0,None,None,None,2,Tacos,Barbacoa El Primo,https://www.yelp.com/biz/barbacoa-el-primo-albuquerque?osq=food
None,None,None,Yes,None,None,None,None,None,No,None,None,None,None,None,None,None,6:00 am - 11:00 pm,None,None,None,None,None,None,None,None,6:00 am - 11:00 pm,None,None,None,None,None,6:00 am - 11:00 pm,None,6:00 am - 10:00 pm,Yes,None,6:00 am - 11:00 pm,6:00 am - 11:00 pm,None,6:00 am - 11:00 pm,Yes,None,NM Albuquerque Airport/Base,Claimed,None,kirtland-food-plaza-albuquerque,35.058697,-106.603902,None,None,None,None,None,None,None,Kirtland Food Plaza,https://www.yelp.com/biz/kirtland-food-plaza-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,chile-bowl-restaurant-albuquerque,35.065046,-106.586671,None,None,flying-star-cafe-albuquerque-2,the-grove-cafe-and-market-albuquerque,cafe-lush-albuquerque,None,None,Chile Bowl Restaurant,https://www.yelp.com/biz/chile-bowl-restaurant-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,southwest-indulgences-albuquerque,35.0487592756,-106.615608173,None,None,stranger-factory-albuquerque-2,peoples-flower-shops-albuquerque-14,trader-barbs-gallery-albuquerque,None,None,Southwest Indulgences,https://www.yelp.com/biz/southwest-indulgences-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,general-nutrition-center-kirtland-afb,35.0582094,-106.558027,None,None,None,None,None,None,None,General Nutrition Center,https://www.yelp.com/biz/general-nutrition-center-kirtland-afb?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9:00 am - 5:00 pm,None,None,Yes,None,None,None,None,None,9:00 am - 5:00 pm,None,None,None,None,None,Closed,None,Closed,None,None,9:00 am - 5:00 pm,9:00 am - 5:00 pm,None,9:00 am - 5:00 pm,None,None,NM Albuquerque Airport/Base,Unclaimed,None,recreation-hall-albuquerque,35.0552065511,-106.583309731,None,5.0,None,None,None,1,"RecreationCenters,Cafeteria",Recreation Hall,https://www.yelp.com/biz/recreation-hall-albuquerque?osq=food
None,None,None,Yes,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,baskin-robbins-albuquerque-7,35.0491761,-106.6168027,2.0,5.0,creamland-quality-checked-dairies-albuquerque,cold-stone-creamery-albuquerque-2,i-scream-ice-cream-albuquerque,1,IceCream&FrozenYogurt,Baskin-Robbins,https://www.yelp.com/biz/baskin-robbins-albuquerque-7?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,10:00 am - 1:00 am,None,None,None,None,None,None,None,None,10:00 am - 12:00 am,None,None,None,None,None,10:00 am - 1:00 am,None,Closed,None,None,10:00 am - 12:00 am,10:00 am - 12:00 am,None,10:00 am - 12:00 am,None,No,NM Albuquerque Airport/Base,Claimed,None,kfc-albuquerque-12,35.0584,-106.588,None,1.0,None,None,None,1,"FastFood,ChickenWings",KFC,https://www.yelp.com/biz/kfc-albuquerque-12?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,None,None,Yes,None,None,10:00 am - 1:00 am,None,None,No,Yes,None,None,None,No,10:00 am - 12:00 am,None,Average,None,No,None,10:00 am - 1:00 am,None,10:00 am - 12:00 am,Yes,No,10:00 am - 12:00 am,10:00 am - 12:00 am,No,10:00 am - 12:00 am,None,None,NM Albuquerque Airport/Base,Claimed,None,dominos-pizza-kirtland-afb,35.0582968,-106.5596119,2.0,3.0,il-vicino-wood-oven-pizza-albuquerque,giovannis-pizzeria-albuquerque,farina-pizzeria-albuquerque,4,"ChickenWings,Pizza,Sandwiches",Domino’s Pizza,https://www.yelp.com/biz/dominos-pizza-kirtland-afb?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None,None,None,NM Albuquerque Airport/Base,Unclaimed,None,subway-albuquerque-15,35.0536625314,-106.591142612,None,None,blakes-lota-burger-albuquerque-6,banh-mi-coda-albuquerque,which-wich-albuquerque,None,None,Subway,https://www.yelp.com/biz/subway-albuquerque-15?osq=food
